大宁今天砸的话，那就是双峰贯耳了，左右开弓更有节奏感，更有持续性,03-16
$宁德时代(SZ300750)$这股害惨了多少人呢！太缺德了！！！,03-15
哪次大盘不是银行顶着，大盘才见底，宁德这种烂股，拉升有毛作用,03-15
四千多股票还有246家红盘坚挺！,03-15
宁王不补跌，大盘不见底,03-15
英国没收俄罗斯富豪资产，外资在宁德买了1000多亿，你看这些外国佬怕不怕，所以…,03-15
今天大逆转！不要慌，因为慌也没有用，不知道你们买的都是什么，要是像我买新能源车E,03-15
宁德时代大涨0.04％[大笑][鼓掌],03-15
转发,03-15
跳空低开缩量大跌，散户还是缴枪？,03-15
瞧你那波一样,03-15
$宁德时代(SZ300750)$宁德时代今天可以说我不背这个锅了。宁德时代红的时,03-15
硬拉宁德,03-15
你今天不绿，你好意思哦准备明天继续跌吧！出来说句话，狗庄,03-15
转发,03-15
$宁德时代(SZ300750)$宁王稳住啊！！！,03-15
挺住，这样明天好砸,03-15
$宁德时代(SZ300750)$要大跌，创新低,03-15
不跌个10%，好意思说你是科技股？,03-15
$宁德时代(SZ300750)$早盘我就预测主力诱多拉高出货尾盘跳水！现在看股价,03-15
垃圾抽干了市场的水,03-15
今天大盘暴跌，怪不了宁王了。,03-15
$宁德时代(SZ300750)$机构真的会炒股吗？拉宁德时代？把大盘全部拉崩了，,03-15
$宁德时代(SZ300750)$缺德时代不死大盘暴跌不止,03-15
十年前超日太阳同样疯狂最终破产重组,03-15
今天上证惨，茅台平安招行神华集体打压指数,03-15
$宁德时代(SZ300750)$今天稳住了创业板，明天如果补跌呢？,03-15
$宁德时代(SZ300750)$90亿救宁德就没意思，还不如救几百只小盘股有作用,03-15
好奇害死人,03-15
这么硬有啥用啊,03-15
$宁德时代(SZ300750)$本周跌破400,03-15
$宁德时代(SZ300750)$还有一次诱多，再碰20线,03-15
$宁德时代(SZ300750)$看来明天大盘还继续跌！因为你今天红的明天轮到你跌,03-15
$宁德时代(SZ300750)$看来明天大盘还继续跌！因为你今天红的明天轮到你跌,03-15
$宁德时代(SZ300750)$看来明天大盘还继续跌！因为你今天红的明天轮到你跌,03-15
$宁德时代(SZ300750)$看来明天大盘还继续跌！因为你今天红的明天轮到你跌,03-15
$宁德时代(SZ300750)$拉这个是没人会追的，只有人会卖。,03-15
$宁德时代(SZ300750)$逆市大涨有你补跌的时候,03-15
厉害了,03-15
大盘单边杀，我配置了 300750宁德时代 !仅供参考,03-15
$宁德时代(SZ300750)$很明显的，主力都套住了，其他报团股都在跌，他不想,03-15
$宁德时代(SZ300750)$很明显的，主力都套住了，其他报团股都在跌，他不想,03-15
今天再不走太了,03-15
$宁德时代(SZ300750)$宁德20个跌停后大盘才能企稳。,03-15
$宁德时代(SZ300750)$宁德20个跌停后大盘才能企稳。,03-15
凝望,03-15
一百多倍市盈率,03-15
宁王不跌大盘不止,03-15
有人在护盘！,03-15
$上证指数(SH000001)$$贵州茅台(SH600519)$$宁德时代(SZ,03-15
$宁德时代(SZ300750)$向宁王致敬,03-15
要不是你这家伙死扛创业板最少跌4个点,03-15
大A基石，股价坚挺,03-15
宁王牛逼呀,03-15
没用的,03-15
$宁德时代(SZ300750)$350企稳,03-15
这都能撑得住,03-15
$宁德时代(SZ300750)$基金经理硬抗着，补跌在后头,03-15
$宁德时代(SZ300750)$上500才有希望,03-15
$宁德时代(SZ300750)$宁王加油！加油！力挺力挺力挺,03-15
$宁德时代(SZ300750)$宁德时代要跌不到4000亿市值，整个盘面不会走涨,03-15
今天你撑得真不易,03-15
现在入手科技只要还是两大块主流赛道呗，新能源和医药拿住他们至少中期已经选对了方向,03-15
$宁德时代(SZ300750)$还是宁德有良心权重股这个时候在护盘,03-15
$宁德时代(SZ300750)$拉兄弟一把,03-15
$宁德时代(SZ300750)$坚挺,03-15
$宁德时代(SZ300750)$这是要暴跌的走势,03-15
为了荣誉你也该稳住了,03-15
曾老板，国家让你赚了这么多钱，拿点钱出来回购注销，救救大盘。,03-15
$宁德时代(SZ300750)$给机会走，还不走,03-15
中创新航拟赴港上市：“黑马”能否撼动“宁王”？,03-15
广州二十一世纪信息技术有限公司,03-15
$宁德时代(SZ300750)$真的不需要外资这回只能靠自己了,03-15
$宁德时代(SZ300750)$创业板你是大哥大,03-15
看到它好恶心,03-15
每次总想着大盘见底了  可是瞅了瞅宁德 哎 还早着呢,03-15
$宁德时代(SZ300750)$救宁德的资金救小盘股可以救几百只股，看上去就没这,03-15
转发,03-15
算是黑马吗？,03-15
拉它肯定失败,03-15
$宁德时代(SZ300750)$你还在涨！？？准备明天砸盘的？,03-15
对外资搞利益输送，坏机构。,03-15
滚,03-15
$宁德时代(SZ300750)$爱尔眼科抄底,03-15
$宁德时代(SZ300750)$向宁王致敬,03-15
今天还能红没天理，明天补跌,03-15
虽然不喜欢你，但感觉酒茅那才是大顶，你这未来还能折腾好多年呢。,03-15
$宁德时代(SZ300750)$宁德开始反攻,03-15
$宁德时代(SZ300750)$今天必须红，尾盘拉升，涨停,03-15
$宁德时代(SZ300750)$2.30小宁子砸盘小心，直奔240,03-15
如何提高股市分析能力——【市值=净利润*估值】升级版解读（中）,03-15
$宁德时代(SZ300750)$如果盘面上宁德时代想涨那么大家就洗洗睡了，这主力,03-15
全市场最大的雷宁德时代,03-15
你觉得阻力在哪呢？,03-15
别护了，怎么都是死路一条,03-15
基建也在慢慢回稳,03-15
跌回高点一半[得意],03-15
快跌，跌下来大盘见底，从头开始,03-15
等待构筑,03-15
最愚蠢的就是拉宁德，你拉大金融个股都会跟上，宁德这么高的位置，一拉别的股票肯定都,03-15
镍价暴涨扰动市场 宁德时代股价仅为20天前券商给出目标价的一半,03-15
稳住别绿,03-15
高位抱团股跌势不止 卖方机构唱多热情未减,03-15
护盘你都护不住，那明天只好跑了,03-15
垃圾货色,03-15
来一点。。玩玩。。,03-15
$宁德时代(SZ300750)$明天跌停,03-15
$宁德时代(SZ300750)$跌吧，还远没有到位。,03-15
$宁德时代(SZ300750)$大哥，撑住啊[哭],03-15
预计3000左右会反弹积蓄下跌动能,03-15
$宁德时代(SZ300750)$不拉指数拉宁德？,03-15
$宁德时代(SZ300750)$克服恐惧，大胆买入，坚定信心，长期持有，必有厚报,03-15
$宁德时代(SZ300750)$嘎嘎创业板指数完全被他左右,03-15
宁德不腰斩大盘不止跌,03-15
主力获利巨大,03-15
掩护外资出货的吧,03-15
转发,03-15
全仓宁德时代，维稳必须拉他,03-15
$宁德时代(SZ300750)$今天很争气了，靠着宁王提着一口气,03-15
全市场全靠你了宁王。。。,03-15
该跌不跌，必有暴跌,03-15
明天轮到这s币表演,03-15
$宁德时代(SZ300750)$宁德不值460，宁德250股价正好。[微笑],03-15
$宁德时代(SZ300750)$跌不跌不是你说的算？是钱说的算。求你们别再买了。,03-15
$宁德时代(SZ300750)$主力应该拉宁德，稳大盘,03-15
这股也就7.80块钱，如果业绩变脸，那就是几块钱,03-15
下跌趋势，装什么装,03-15
qq的市值 都跌了一半，宁王还没到位,03-15
快跑，护不住了。,03-15
不要怂啊，下午怂啥,03-15
国家队再一次选择拉宁德时代，逃命的机会再一次来临，我就剩最后1手,03-15
一百多倍的市盈率，还早呢！,03-15
上证新低了，等你带领创业板超越新低！,03-15
$宁德时代(SZ300750)$抱团的机构必将一地鸡毛。基金经理本质就是笑话，卖,03-15
亏了一点点，先走了。。。。,03-15
现在对新能源车有两大利好:1、俄乌战争，油价飞涨2、工信部延续新能源车补贴政策。,03-15
$宁德时代(SZ300750)$加油！,03-15
$宁德时代(SZ300750)$300元应该企稳,03-15
$宁德时代(SZ300750)$180等你,03-15
$宁德时代(SZ300750)$啧啧称奇,03-15
护盘就靠你了[上涨][上涨][上涨],03-15
转发,03-15
$宁德时代(SZ300750)$宁德下来了，做空全胜,03-15
割肉空仓了,03-15
肯定暴涨。电池行业竞争激烈。供大于求，原材料暴涨。业绩肯定暴跌。不要怕。股价暴涨,03-15
$宁德时代(SZ300750)$$中国平安(SH601318)$$中信证券(SH,03-15
$宁德时代(SZ300750)$大家都不要买。它还会往上拉的。国内的机构都去国外,03-15
上年买的基金，最高利润50%，现在剩下7%了，卖不卖啊？,03-15
V时过早，继续等待,03-15
小姐姐看到300元，小姐姐PK四大机构，首创看400元、瑞银看700元、华创证券,03-15
$宁德时代(SZ300750)$千万要挺住你是大家的希望,03-15
$宁德时代(SZ300750)$200n以下再看吧,03-15
$宁德时代(SZ300750)$宁王创业板靠你撑起半天边了，加油！,03-15
$宁德时代(SZ300750)$脊樑弯了[捂脸],03-15
$宁德时代(SZ300750)$这货不能放弹，它一跌又把大盘带崩。,03-15
上年买的基金，最高利润50%，现在剩下7%了，卖不卖啊？,03-15
你的估值现在是天价，三个腰斩起步,03-15
$宁德时代(SZ300750)$炒高这些股就一祸害，A50指数就被它们带沟里了，,03-15
3年20倍，拿什么拯救你，剁到你的菠萝盖,03-15
创强沪弱，宁王先企稳，电子身份证继续嗨,03-15
独立基金观察员,03-15
$宁德时代(SZ300750)$垃圾，低下你那低廉的头，龙头狗熊样,03-15
没本事，全靠骗，一群垃圾,03-15
$宁德时代(SZ300750)$不要看宁德现在相对抗跌，大盘真企稳了，就是震荡出,03-15
这才哪到哪？70多盘完上来的，就是在下跌的时候卖给你。你要想清楚。,03-15
电子身份证板块领涨两市！沪指跌逾2%创新低，该如何应对——骑牛看熊3月15日投资逻辑午评,03-15
独立财经评论员,03-15
$宁德时代(SZ300750)$上联：中概岌岌可危无人问，下联：宁王昨夜黄花有人,03-15
$宁德时代(SZ300750)$是人都知道中概才是漩涡中心，竟然有人傻到拿人家的,03-15
$宁德时代(SZ300750)$操盘策略300750宁德时代引领新能源等题材止跌,03-15
300750 宁德时代 龙头走势 影响399006 创业板指数 盯紧 宁王,03-15
看清市场，300打头首选，午后怎么玩；盯死 300750 宁德时代 进出、,03-15
业绩暴增10倍，“有锂”还能走多远？,03-15
天弘基金管理有限公司,03-15
大势所趋，护不住的，否极泰来才是正道  懂  等的就是物极必反,03-15
真股王[献花],03-15
掩护外资跑路,03-15
你一步到位才整个深证止跌,03-15
$盐湖股份(SZ000792)$盐湖股份：钾肥之王！$西部矿业：3万吨碳酸锂，盐,03-15
尽力了,03-15
今日特点避开散户，高价股逆势活跃。,03-15
机构唱多，那就是要卖出的信号,03-15
瀚川智能研究报告：汽车电子设备龙头，切入换电设备,03-15
财经自媒体,03-15
创业板有没有救全看你一个了，加油吧,03-15
这个股对指数影响太大了，感觉拉他是为了掩护出货呢,03-15
$宁德时代(SZ300750)$宁德时代到处找锂盐和锂矿，其实眼前就有，雅化集团,03-15
$宁德时代(SZ300750)$这个货水分太高，一般人轻易不要碰。玩不起的。,03-15
涨停,03-15
还瞎炒，这能好吗？一个破电池一瓶破白酒！真他奶奶的奇葩！,03-15
$宁德时代(SZ300750)$就是个电池大作坊，500块的股价也是天下奇谈了,03-15
宁德时代一、市盈率107，过高，缺乏想象空间。二、近一周北向资金大幅卖出。三、疫,03-15
碳中和ETF159790最后要实现的是零碳时代，这个高度可想而知，又是我们国家能,03-15
宁王跌停有这可能吗？,03-15
新冠药板块强者恒强！指数跌“麻木”了，机构资金在买什么——骑牛看熊3月14日淘金收评,03-15
独立财经评论员,03-15
宁德时代，军工＋核电！快抄底中国广核！,03-15
纯电续航排名出炉！广汽埃安前五占两，特斯拉Model Y 倒数第一,03-15
广州功夫新媒体网络科技有限公司,03-15
$宁德时代(SZ300750)$老乡别走，中信证券认为宁德时代合理估值为500，,03-15
【资讯早知道】2月装车量再超三元锂电：王传福一语成谶、“妖镍作祟”下磷酸铁锂电池迎来春天？,03-15
嘉实基金管理有限公司,03-15
转发,03-15
不相信宁王的大底部会在300[好困惑][好困惑][好困惑][拜神][拜神],03-15
翻了几倍了太高了,03-15
触底反弹开始了。对新能源我一直是持有坚持就是胜利的观点，昨天调整期间我加了把仓位,03-15
A股核心资产50！坚定拥抱A股核心资产，迎接资产泡沫大时代[22/03/14],03-15
通联数据股份公司,03-15
说实话，宁德不该拉，这明显是护盘，到时候还得跌，而且跌的更多,03-15
宁王果然是真王，下午又要暴涨了[拜神][拜神][献花][献花],03-15
市场不好，报团在新能源赛道才能安全！,03-15
股价三折合理,03-15
$宁德时代(SZ300750)$垃圾主力,03-15
新能源车强势翻红,03-15
发现一个很不好的现象，主力居然还在茅台宁德时代护盘，把资金吸引去给北向接盘，如果,03-15
我的愿望很朴实，宁德跌到200，隆基跌到30。那时这个市场会变得很干净，很公平。,03-15
$宁德时代(SZ300750)$400以下见,03-15
2月装车量再超三元锂电：王传福一语成谶、“妖镍作祟”下磷酸铁锂电池迎来春天？,03-15
界面（上海）网络科技有限公司,03-15
$宁德时代(SZ300750)$$盐湖股份(SZ000792)$盐湖股份：钾肥之,03-15
无论你怎么秀，也不会上当,03-15
$宁德时代(SZ300750)$拉宁德时代说明还有大跌。,03-15
$宁德时代(SZ300750)$向下趋势不变，反弹是小散出货良机！,03-15
今天随垃圾股宁德时代现价477元大涨的股注意了，明天空军总司令雨朦胧多会投降空头,03-15
指数下来怎么办，快拉宁德时代啊,03-15
每天自动产生差价，这个方法挺好的,03-15
不到400以下，难见底,03-15
$宁德时代(SZ300750)$450基本是短期底部，我在这里连续买了几次了，拉,03-15
$宁德时代(SZ300750)$龙头就这怂样，还不如德方纳米呢,03-15
别慌，XX证券公司前阵子研报说：宁德时代目标股价700元/股，,03-15
救救,03-15
护盘行情，不买你还买谁？入手五成仓[握手],03-15
【聚焦核心】汇集全球视野，洞见中国未来，A50ETF159601布局A股核心资产。【20220311】,03-15
护盘？,03-15
宁德时代相信昨天在雨朦胧指定的价位472元附近(469元)在今天宁德大涨到480,03-15
定海神针必须站住,03-15
$宁德时代(SZ300750)$创业板要反弹，必须拉宁德,03-15
怎么可能是护盘，诱多或者波段，都是在自嗨，呵呵,03-15
要不是宁王，创业板指已经到2000,03-15
$宁德时代(SZ300750)$融资越来越多，不能再往下了。我都要爆仓了。,03-15
$宁德时代(SZ300750)$为什么宁王会红，拉指数股让大家没那么恐慌，然后主,03-15
联赢激光研究报告：激光焊接领域专家，锂电助力业绩高增,03-15
财经自媒体,03-15
好多人一市场波动就有点慌，我买创成长ETF159967刚好相反，他本来就是着重成,03-15
宁王没有恐慌盘市场永远见不了底,03-15
你是盐湖提锂吗？,03-15
$宁德时代(SZ300750)$国家队来救世的话，肯定来拉大盘，所以创业板要不要,03-15
$宁德时代(SZ300750)$每一次反弹都是卖出的好时机,03-15
$江特电机(SZ002176)$江特电机：锂矿！锂之王！盐湖股份：钾肥之王！西部,03-15
就知道会暴拉宁德腌盖大跌，果然，我抄底宁德了，快叫我股神，哈哈哈哈,03-15
又吃肉了，我预判了你的预判[胜利],03-15
昨天新能源有了调整，自然就会有低估差，后续的价值反弹会被放大，我肯定是要继续补仓,03-15
熊市的特点就是跌了再跌，大家要小心控制风险！,03-15
还没有跌到位，大股票都还要再下行一段时间空间。,03-15
$宁德时代(SZ300750)$宁德指数！！！,03-15
今日宁王如果不护盘，恐慌发生踩踏。,03-15
$宁德时代(SZ300750)$又在拉指数,03-15
