$三一重工(SH600031)$1717谐音，要起要起。新得一波行情要起来了。,03-17
$三一重工(SH600031)$我是股神,03-16
$三一重工(SH600031)$这个st能涨5倍st万方今天我们从以下三个方面和,03-16
这货没有底儿啊，玛德赔了好多,03-16
ST万方 5倍牛股 值得关注,03-16
$三一重工(SH600031)$三一重工拟发行GDR充分彰显出我国资本市场互联互,03-16
城镇化都搞完了，基建板块还有啥盼头。炒股要看长期逻辑，比如老龄化长期利好医疗板块,03-16
$三一重工(SH600031)$K线图还是处于下跌的趋势中，反弹只是暂时的。真的,03-16
9块钱定多了他几年前可是2块多,03-16
我清晰记得外资去年有一个交易日，狂买三一重工9个亿，股价却是狠狠地按住在大跌收盘,03-16
明天又是暴跌！切勿加仓,03-16
$三一重工(SH600031)$阻止不了你明天继续跌,03-16
卡特彼勒马上创新高了，三一重工每天刷新低[哭]，30的成本，马上腰斩了不知道说啥,03-16
20几块重仓买的，受不了了，今天赌一把，10倍杠杆全仓杀入，还可以，明天再涨一天,03-16
$三一重工(SH600031)$好几天没发帖了！那么就在这个人人唾弃的吧里，明天,03-16
涨就跑,03-16
$三一重工(SH600031)$套了我快半年了，[捂脸],03-16
三一重工跌5.64% 浙商证券高点喊买入,03-16
$三一重工(SH600031)$今晚夜间两点是美联储议息会议，这个通胀和时间节点,03-16
别把阶段性反弹当触底回升了，十八层之下还有一层,03-16
$三一重工(SH600031)$7块钱涨上来的现在才到多少？,03-16
[图片],03-16
$三一重工(SH600031)$三一是中国工程机械的绝对龙头产品竞争力强、毛利高,03-16
$三一重工(SH600031)$致敬勇士们[梭哈][梭哈][梭哈][抱拳],03-16
$三一重工(SH600031)$三一重工适合回购股份然后销毁,03-16
明天来个涨停我加点青菜吧！吃了一年的白水面条了。[旺柴],03-16
$三一重工(SH600031)$三一GDR瑞士，应该是利好吧，市盈率偏低，应该是,03-16
这几天的大跌很不寻常，有迹像表明这是W资所为，目的是让资金回流媚G,03-16
$三一重工(SH600031)$丢人丢到外国，这个局然是真的！哎,03-16
明天还跌！,03-16
《三一今日大涨正式确认底部！》事实胜于雄辩！再完美精彩研报，最后得不到正确验证，,03-16
上午割肉出去的点这里[大哭],03-16
$三一重工(SH600031)$T了一个月，快回本了,03-16
$三一重工(SH600031)$求观音菩萨保佑三一重工成为万亿市值.观音菩萨答应,03-16
把股价搞上去，才是硬道理，要不怎么上瑞士,03-16
要做长线，就去亏钱很快的地方,03-16
一卖就涨，我哭死了。。。。,03-16
转发,03-16
挥泪暂仓，郁闷死了,03-16
《关于三一近期操盘策略的两点总结！》3月以来我们给出了三一走势分析和操盘策略，主,03-16
$三一重工(SH600031)$未来估计要下到10块左右[滴汗],03-16
大宗交易：三一重工成交2784.04万元，成交均价17.08元（03-09）,03-16
三一，二一，一，0.1。,03-16
三一重工聚焦大客户营销，诚邀崔键老师为营销团队授课,03-16
$三一重工(SH600031)$来三个板比到那上市都强，今年高管带头减持套现人心,03-16
$三一重工(SH600031)$有个事情很奇怪，这么久了都没人问问现在股东人数多,03-16
利好长沙银行,03-16
$三一重工(SH600031)$到处不开工，三一成一五,03-16
兄弟们，我从31满仓130万，到现在每天经历着失眠不振，精神不佳，工作不顺利，今,03-16
转发,03-16
1717（要起要起）,03-16
转发,03-16
17.17要起要起[奸笑][奸笑][奸笑],03-16
$三一重工(SH600031)$主力说今天有点上头，晚上做个SPA冷静下，明天回,03-16
三一重工大哥出了什么问题，有人知道吗？自49.7的高点以来，一路杀跌到现在17.,03-16
今天差一口气就破十六了，没有加到仓，可惜了。,03-16
没有量的反弹，只能说后市难以预料,03-16
战后会不会境外销售，战后重建?,03-16
明天美利云要完全学今天的浙江建投才行,03-16
各种本土资金冲啊，冲啊，一定要把外资空头干掉[献花][献花][献花][献花],03-16
先跑了 2点半又要下来了,03-16
A50涨7个点你装什么呢,03-16
想要抄底的，最好是等到量能萎缩到8000亿以下的水平,03-16
$三一重工(SH600031)$17.25压力位,03-16
$三一重工(SH600031)$呵呵，不看账户一会儿就涨回来了，帕拉梅拉要有了,03-16
转发,03-16
$三一重工(SH600031)$一一轻工，今吸资够多了，又来回做几天了跃到8.0,03-16
扶不起的烂泥，跟着大盘蹦哒一下，后面还得跌,03-16
$三一重工(SH600031)$人为救市，看看能不能撑住吧[吃瓜],03-16
收盘16.95,03-16
$三一重工(SH600031)$操，早上把恒生Etf卖了，买你！,03-16
$三一重工(SH600031)$别激动，你们看它昨天跌了多少，今天涨多少！今还是,03-16
差不多了，今天可以卖了，这几天再回调一次探探底，来一根长长的下影线，下跌行情就结,03-16
启动了,03-16
$三一重工(SH600031)$昨天亏12000今天回血7200明天再亏1200,03-16
三一重工股价创近2年新低,03-16
$三一重工(SH600031)$今天空仓卖在了最低点[哭]总共亏了四千六,03-16
沪股通收盘集合竞价将近十个亿，没你一分钱,03-16
下午拉涨停,03-16
三一重工董事会，真心希望你们明天收盘后发布1-2月业绩情况，大仙猜想，你们会发布,03-16
$三一重工(SH600031)$重要通告，重要通告。请所有骑手停止接单，有单的立,03-16
$三一重工(SH600031)$今天走了，在其他股挣了5个点，又看明天如何吧,03-16
$三一重工(SH600031)$明天能跌不？我想进点，谢谢,03-16
$三一重工(SH600031)$收盘价不错。1717,03-16
早上把我洗出去了，实在是拿了睡不着觉,03-16
转发,03-16
$三一重工(SH600031)$这个垃圾票亏了我3270，再也不碰了，如果今天不,03-16
$三一重工(SH600031)$明天跌停,03-16
今天应该高位减仓…下跌趋势还没有改变…明天破不了今天昨天的那个高点就还得回落继续,03-16
$三一重工(SH600031)$我不卖你不涨，我一卖你呼呼涨上去了,03-16
三一重工接下来如果市场顺利，将运行大反弹的第二轮上升行情，当大多数人觉得市场非常,03-16
三一重工牛逼啊！可以抄底了,03-16
$三一重工(SH600031)$16.9的时候卖点成了买，竟然没下来，运气了。希,03-16
$三一重工(SH600031)$今天17.16入，难道从此被……？,03-16
三一加油.看好你.我已拜了菩萨保佑三一成为亿万级企业.,03-16
今天是双针探底，后期会怎么走？,03-16
上涨没有量你们自己觉得呢？都没有上周五放的量大,03-16
1717要起要起。。。,03-16
$三一重工(SH600031)$保守。如果想挣快钱，最后拉上去3个点，明天上1个,03-16
已经腰斩了[哭][哭],03-16
干脆点直接到13大家在补仓狂拉一波解脱,03-16
$三一重工(SH600031)$今天利好再加放量涨都没突破完成阳包阴，明天危险了,03-16
说实话你是很拉胯！！1,03-16
$三一重工(SH600031)$明天这样走,03-16
$三一重工(SH600031)$不要恐慌，拿稳了！每天加仓,03-16
$三一重工(SH600031)$这一堆卖盘，真吓人，我还是怕了,03-16
$三一重工(SH600031)$大盘是反弹还是反转？经历了这么久折磨，愿三一友友,03-16
上涨不放量很危险,03-16
今天为什么是红的，谁解释下？三一,03-16
到底是涨还是跌嘛,03-16
亏够了，走了。不玩股票了，安安心心赚钱，存钱,03-16
$三一重工(SH600031)$来割吧，我躺平了。。。。。。,03-16
在你这亏了30个点，现在都成了这个熊样,03-16
还是好弱啊,03-16
$三一重工(SH600031)$不敢拉涨停，明天有问题。不知怎么办？高手指迷津！,03-16
太他么弱了大盘九十点你张快五个。大盘110点你剩不到四个了。没高还他么下来了,03-16
概率,03-16
$三一重工(SH600031)$垃圾垃圾，6%都没有,03-16
没有资金入场，都是跑的。看来收盘落到17以下,03-16
这都不涨停？,03-16
$三一重工(SH600031)$千万别买，明天都是绿的,03-16
$三一重工(SH600031)$没戏了,03-16
说实话你真的拉胯,03-16
$三一重工(SH600031)$恐怖的散户，完全不认识利好利空消息，只知道卖卖卖,03-16
$三一重工(SH600031)$国务院：中国政府继续支持各类企业到境外上市,03-16
可以跑了,03-16
三一重伤。。。,03-16
转发,03-16
太弱太垃圾了,03-16
卖了你就涨，我呸,03-16
$三一重工(SH600031)$跟着大盘反弹，大盘继续上攻，这比遇到压力位就冲不,03-16
$三一重工(SH600031)$一入股市深似海，从此钱都不进袋，21.2的成本，,03-16
今天全仓支持gjd了,03-16
这里确实不咋地，我也不过是等涨一点割掉而已，永远不抄底,03-16
快下来！！！,03-16
完犊子了这就在A股就这样了十几元的价格就这样了,03-16
$三一重工(SH600031)$五日线压，滚开,03-16
都全线涨停了，不要磨磨唧唧的了，直接涨停,03-16
我就想问一下，现在有人敢追进去吗？是不是有抄底的冲动？哈哈哈，难以抵挡的人性啊！,03-16
$三一重工(SH600031)$第一次跑赢上证，牛逼[微笑],03-16
要到15了,03-16
有过昨天的高点不,03-16
三姨妈啊你上面的缺口什么时候填一下,03-16
太拉了，这不该涨停？,03-16
我昨天割的,03-16
必要时进行问责[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]必须的,03-16
转发,03-16
$三一重工(SH600031)$跌的时候顺流而下，涨的时候步履维艰,03-16
$三一重工(SH600031)$美利云是你追逐的方向，三一请挺起你的脊梁骨！,03-16
必要时进行问责[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]必须的,03-16
你这夕阳产业浪费我仓位啊，还好分仓位抄底的了东财,03-16
$三一重工(SH600031)$哎，五日均线怎么就站不上去讷，17.24[哭],03-16
股票能给小三揉搓死,03-16
洗洗睡了吧，三一就一个扶不起的阿斗！,03-16
$三一重工(SH600031)$行情开始回暖了,03-16
$三一重工(SH600031)$接下来，就看操盘手的图上作业功夫了。老手新手，接,03-16
$三一重工(SH600031)$[上涨][上涨][上涨][上涨][上涨][上涨],03-16
$三一重工(SH600031)$昨天跌的能涨回去吗垃圾,03-16
看看东方财富,03-16
我跑了开始涨了,03-16
转发,03-16
上涨乏力,03-16
一买就开始跌，一跌就跌得一塌糊涂,03-16
$三一重工(SH600031)$割肉卖了就涨，哈哈哈,03-16
涨不过大盘，跌过全世界,03-16
大反转,03-16
难道要收购国外公司？,03-16
$三一重工(SH600031)$涨停，庄拉不起来的，太多散户，没必要在低位放散户,03-16
跑啊，T啊，高台跳水的吧,03-16
10个涨停我够本,03-16
我觉得大概率，明天可能要芭比Q,03-16
$三一重工(SH600031)$,03-16
拉个板吧,03-16
$三一重工(SH600031)$这货只要涨一点人生就马上来！！真的搞不懂,03-16
$三一重工(SH600031)$宁德涨了8%了，三一又上市又与宁德合作才凉的4怎,03-16
$三一重工(SH600031)$拿出你的专长来，跌得也够狠了，让北上资金来抄底，,03-16
$三一重工(SH600031)$感动了,03-16
$三一重工(SH600031)$国务院支持境外上市，抓紧10个涨停,03-16
各种本土资金冲啊，冲啊，一定要把外资空头干掉[献花][献花][献花][献花],03-16
各种本土资金冲啊，冲啊，一定要把外资空头干掉[献花][献花][献花][献花],03-16
小盘子长龄液压已经跌破去年的新股发行价了，不抢更待何时？,03-16
$三一重工(SH600031)$深套70%—10%，还有60%，长期存款啦！,03-16
转发,03-16
三一重工代表新一轮对外互联互通！！！至关重要！,03-16
$三一重工(SH600031)$涨的时候1个点2个点，跌的时候4个点5个点，不愧,03-16
$三一重工(SH600031)$满仓,03-16
$三一重工(SH600031)$给我跌下来,03-16
$三一重工(SH600031)$[亏空][亏空][亏空],03-16
$三一重工(SH600031)$实力是有的，要不然也不会上端士,03-16
$三一重工(SH600031)$下来吧，下来就对了，别装逼啦,03-16
$三一重工(SH600031)$3月15日，金隅集团与三一集团在北京签订战略合作,03-16
$三一重工(SH600031)$一三工重,03-16
12是底,03-16
小子就不信上海家化能跌到2块钱[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],03-16
小子就不信上海家化能跌到2块钱[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],03-16
$三一重工(SH600031)$割肉了，全仓了金盛控股,03-16
今天用800股T了两次，一成一败。16.46进/16.34出，跌破前低恐慌，怕做,03-16
想不通三一为什么会有那么多坏账大家买机械都是给的全款啊就算分期你三一拿的是全款啊,03-16
15左右会形成一定支撑,03-16
三一重工连载（7）：丁香般的惆怅，期待山涧再相逢,03-16
涨一年，跌两年[哭],03-16
$三一重工(SH600031)$今天16.97买入的啥时候能解套,03-16
除脱了一半[哭][哭],03-16
这货年报一年比一年好，为什么股票垃圾,03-16
我已经躺平了，你们操作吧，等半年后，我再来操作,03-16
$三一重工(SH600031)$有割肉的报个名,03-16
$三一重工(SH600031)$要跌多久才罢休啊，稳跟，没完没了似的,03-16
$三一重工(SH600031)$最近股市很差，中午在肯德基一边吃鸡翅一边掏出手机,03-16
$三一重工(SH600031)$你继续跌，我也没钱加，大不了只要你不退市，我可以,03-16
下午尾盘跳水，一样的节奏，一样的味道，逢高清仓！,03-16
《不看空600031 三一重工》,03-16
$三一重工(SH600031)$老乡别走，还有利好[得意],03-16
$三一重工(SH600031)$三一重工，二一重工，马上一一重工了,03-16
《三一顽强寻底越发明确！谨防一大隐忧！》我们在近期乱市持续暴跌背景下，大胆逆向预,03-16
$三一重工(SH600031)$3.5元目标价,03-16
三一今天居然大涨，想不到,03-16
在火星上市都救不了。,03-16
确定跟宁德合作？它涨了你还在跌…,03-16
实底在7元附近，十年后可以到40元。49.70,03-16
4月分13.5左右5-6月10左右,03-16
滚球蛋，还瑞士上市，去了也是2个嘴巴子给打回来，连脚都不带用的。,03-16
$三一重工(SH600031)$随买随套[捂脸][捂脸][捂脸],03-16
下跌原因找到了，因为我死扛在里面没卖！,03-16
$三一重工(SH600031)$26进的现在16了怎么班兄弟们,03-16
转发,03-16
$三一重工(SH600031)$等跌到13元，才建仓,03-16
$三一重工(SH600031)$持有的继续持有，这里不要卖了，看空的不要BB你们,03-16
不一定有戏,03-16
$三一重工(SH600031)$啥时候能回本呀，天天好烦[哭],03-16
$三一重工(SH600031)$三一这个垃圾，要回本遥遥无期啊，只有割肉了,03-16
$三一重工(SH600031)$两次融资两次跌，别人是大利好，在这里全是利空。这,03-16
今天涨停，立贴为证,03-16
这股到多少才能买啊？跌得好恐怖,03-16
建议关注工程机械行业龙头三一重工,03-16
$三一重工(SH600031)$老铁们，休息了才几天，就听朋友说大盘已经跌的不像,03-16
先别涨，等我别的解套了，我来超你的底,03-16
加仓这垃圾股，越加越亏,03-16
三一前几年7元左右徘徊的时候没有买入一直涨到了50元，今年有机会再次重返7元吗？,03-16
腰斩再腰斩，我惨我太惨。,03-16
大家发现没有，股吧上都是很多不炒股的人，在指挥炒股的人，就像打麻将的时候，后面有,03-16
$三一重工(SH600031)$已割，亏了6万多，你可以涨了,03-16
外部环境也好转了，昨晚中概股报复上涨，今天三一能回点血了吧,03-16
今天是刷了新低吧,03-16
$三一重工(SH600031)$既然还能看到31红的瞬间。不容易啊,03-16
$龙蟠科技(SH603906)$走势请参考$三一重工(SH600031)$,03-16
给机会让外资低价买入呀,03-16
三一重工,03-16
"我喊了一年的空,有人就不信,听网红骗子价值投资得头破血流",03-16
"不要听骗子忽悠,冲高就跑路",03-16
$三一重工(SH600031)$水能载舟，亦能覆舟,03-16
转发,03-16
别出新消息了。你看看，你这消息一出，股价是刷刷的往下掉！越爆料的多，跌的越狠！求,03-16
又该大跌了，3块不是梦，各位老铁。,03-16
$三一重工(SH600031)$垃圾就是垃圾!没有量的拉升就是坑,03-16
别人跌，你狠狠跌，别人涨，还能跌,03-16
$三一重工(SH600031)$下午杀空狗,03-16
请问47的还在吗,03-16
跌到3.1才能企稳,03-16
$三一重工(SH600031)$大家说下向文波会不会下台，上台跌了34％,03-16
几天没看就16了？真奔着3.1去的[笑哭],03-16
脸都不要了[旺柴][旺柴],03-16
跌死了,03-16
韭菜买买买，股价跌跌跌。[笑哭],03-16
$三一重工(SH600031)$真慌呢,03-16
$三一重工(SH600031)$三一这人气值只高不下,03-16
$三一重工(SH600031)$瑞士人表示不理解,03-16
三一完蛋了，国外骗钱去。,03-16
看看月线就知道应该在哪抄底了,03-16
10元才可能止跌返照一下？？,03-16
16公公,03-16
$三一重工(SH600031)$哈哈哈哈,03-16
$三一重工(SH600031)$六元见,03-16
向11手工出发,03-16
一三重工,03-16
$三一重工(SH600031)$买了两天，赔了一万五，卖了，留下的发财，使劲涨吧,03-16
期待11重工,03-16
$三一重工(SH600031)$18块抄底都套了，真无语。,03-16
没有最低，只有更低。,03-16
$三一重工(SH600031)$这真要变成3.10重工吗？,03-16
别这样可好？随便弹弹也行,03-16
创新低了，耗在这里看样子就是等死,03-16
$三一重工(SH600031)$11等你[鼓掌],03-16
不管三七二十一买了，不管三七十九卖了。倒回来看看，不知俺是高兴呢还是……,03-16
完了，,03-16
$三一重工(SH600031)$还有四块多，再跌4.5元，我就买点,03-16
$三一重工(SH600031)$会不会到10块哦,03-16
$三一重工(SH600031)$会不会到10块哦,03-16
$三一重工(SH600031)$讲故事大王,03-16
又新低,03-16
下跌途中莫补仓，越补越输,03-16
$三一重工(SH600031)$跌到12我也来接盘,03-16
这企业还没倒闭？,03-16
$三一重工(SH600031)$这股有点邪门。,03-16
今天要破16？？？,03-16
$三一重工(SH600031)$被你害得破产,03-16
屑一重工,03-16
$三一重工(SH600031)$六元见,03-16
要向15.88进军了,03-16
$三一重工(SH600031)$就这？,03-16
请珍惜16元的三一，因为今年再也不会看见这么高的价了,03-16
我就知道昨天那个不是啥好消息，因为机构是未卜先知的，除非涨一段再公布,03-16
还真是发布什么消息都没用……跌无止境,03-16
这个大盘晕倒,03-16
$三一重工(SH600031)$恶心到头了，16块多了,03-16
天天跌一点希望都看不到一年了除了33那次剩下天天下降磨人买其他任何的也不至于这样,03-16
散户继续买主力继续砸融券砸,03-16
应该在火星上市，臭名远扬，名闻宇宙,03-16
$三一重工(SH600031)$几年前为国内两家工程机械企业提供过咨询服务，对行,03-16
$三一重工(SH600031)$我已经放弃三姨了，来东数西算瞅一瞅吧,03-16
楼上48382818的你们还好不？我在08等你[捂脸],03-16
$三一重工(SH600031)$40个点了,03-16
请问2021年1-2月份国外销售情况，有哪个大佬知道啊,03-16
$三一重工(SH600031)$中国宝安也是这样走的,03-16
月球上市也没人管,03-16
$三一重工(SH600031)$前二天涨了，该回调了,03-16
今天要创新低了,03-16
来看看二一重工,03-16
三一费了，从此不要关注了，割了吧,03-16
$三一重工(SH600031)$快跑,03-16
$三一重工(SH600031)$自从来了了卖勾子小六子就一直跌,03-16
$三一重工(SH600031)$疫情检测股都涨成啥了，还有一堆人守着挖掘机呢？检,03-16
三一咋办呀，，没有最低只有更低，赔4万了[哭][哭][哭],03-16
$三一重工(SH600031)$哈哈哈哈,03-16
笑死了跌怪外资现在外资不流出了你也没涨,03-16
一样的，走了,03-16
名气挺高的,03-16
$三一重工(SH600031)$满仓介入。,03-16
$三一重工(SH600031)$下午还会一直这样跌的,03-16
呵呵呵！看到黑A十天有九天大绿，连有名气的上市公司都被整怕了，探索西绸之路可否取,03-16
$三一重工(SH600031)$目前到250周k位置了，如果站不稳，下一个位置是,03-16
昨天进的还好及时止损了，不然估计今晚都睡不着觉,03-16
今天又是负5个,03-16
$三一重工(SH600031)$什么时候变成一三重工我就买点,03-16
嗯，绿了，这才是你,03-16
别装了，快下来吧[旺柴],03-16
涨几分钱太难了，跌几个一分钟就下来了[哭],03-16
变绿吧，不要装了，你个垃圾,03-16
$三一重工(SH600031)$股市我只服向文波，上台后腰斩了还能暴跌30几个点,03-16
$三一重工(SH600031)$闲着无聊，有才的来对个对子吧[笑哭][笑哭],03-16
我三姨，13,03-16
$三一重工(SH600031)$别整一些虚头滑脑的，怎么把股价搞上去才是真的，一,03-16
能跑路 冲高就跑路 还会跌,03-16
三一都准备去国外上市了，还成这个样子，一副受欺负的模样,03-16
【公告】经过慎重考虑，如果明天再跌，今天晚上把儿子的压岁钱偷了炒低三一重工。,03-16
跑瑞士，让人掐住脖子啊,03-16
丢人现眼，还去欧盟瑞士上市？难道是转移资产？,03-16
$三一重工(SH600031)$太气了肥沃,03-16
过年空仓到现在了，跌快点，跌到12.49建仓,03-16
$三一重工(SH600031)$太气了肥沃,03-16
$三一重工(SH600031)$珍惜16块的三一,03-16
都跌成这鸟样啦，还发利好公告，得继续跌跌,03-16
$三一重工(SH600031)$太气了肥沃,03-16
$三一重工(SH600031)$大家不要评论出贴了。关掉软件，两年后打开，必有收,03-16
跌起来几个点几个点跌，涨几分都困难,03-16
上海家化今晚公告收购美国保洁，小子猜的[献花][献花][献花][献花][献花],03-16
三一重工后期可能会怎么走？,03-16
成功把我吓走了，不熟悉的股票还是最好别碰,03-16
今天十三重工要补跌昨天缺口吗，今天要是跌停本周5我就来炒低。,03-16
$三一重工(SH600031)$加油冲啊,03-16
$三一重工(SH600031)$一天不亏钱感觉怪怪的,03-16
高开低走砸盘,03-16
多杀多,03-16
今天能见15吗！,03-16
$三一重工(SH600031)$没有底线了，,03-16
$三一重工(SH600031)$不到五元坚决不碰，切记切记！,03-16
你是来搞笑的吗,03-16
毁灭吧,03-16
$三一重工(SH600031)$最高价16.97，我16.95却没有成交。搞不明,03-16
每天一个利好，每天都是新低,03-16
$三一重工(SH600031)$完了，资金开始转移国外了。,03-16
昨天买的，今天亏一千多，我怕拿着睡不着觉,03-16
家贼难防,03-16
微涨暴跌，垃圾股,03-16
$三一重工(SH600031)$个人感觉这就是监管严了假外资抛售,03-16
高开走低，反弹走低，哈哈,03-16
我觉得今天三一会涨,03-16
不用看了，又是高开低走的一天，a股的尿性就是这样[666],03-16
小一一重工,03-16
听说这垃圾要在瑞士上市，特来围观[得意][得意],03-16
好家伙，要张婷了,03-16
垃圾，一路向下！垃圾垃圾垃圾,03-16
软体二一,03-16
立方风控鸟早报：涉中原建业、洛阳钼业、三一重工、景嘉微、上海莱士等,03-16
河南大河财立方传媒控股有限公司,03-16
快跑啊,03-16
快跑啊，还要再跌的。,03-16
$三一重工(SH600031)$国外上市，回笼资金，解决资金问题，研发高端科技，,03-16
$三一重工(SH600031)$真丢人,03-16
还是没用！！！涨不动？跌的时候死跌,03-16
静行情这么好都不涨多点,03-16
这是一一重工的节奏吗[呲牙],03-16
垃圾，天天跌,03-16
高开了，想走的各位提前准备好单子,03-16
要么在开盘后第一时间卖出，要么等尾盘卖,03-16
$三一重工(SH600031)$涨停,03-16
$三一重工(SH600031)$铁矿石期货大涨，一定时期运行高位上，对制造业是利,03-16
$三一重工(SH600031)$今天来玩跑得快！,03-16
回光返照？,03-16
$三一重工(SH600031)$今天能不能破16。,03-16
$三一重工(SH600031)$这么大利好没有一字板。看来排面很弱,03-16
$三一重工(SH600031)$今天看看能不能形成底部,03-16
涨停也回不了本,03-16
$三一重工(SH600031)$扶不起的阿斗,03-16
$三一重工(SH600031)$今天看看能不能形成底部,03-16
$三一重工(SH600031)$昨天赔了10万，今天准备还给我3万，然后明天再让,03-16
到3.1我再进吧，小散们。。,03-16
$三一重工(SH600031)$继续拉一裤子,03-16
$三一重工(SH600031)$[大哭]冲上去啊我发誓解套就不玩了,03-16
能到国外去割韭菜，今天涨停！,03-16
明明境外发行股票是扩大经营范围进军国际市场，都是眼光长远的决定可这股吧那些人不看,03-16
总感觉今天还会绿,03-16
冲，冲，冲啊，本土大资金要干掉外资[献花][献花][献花][献花][献花],03-16
考虑满仓干活儿了,03-16
冲，冲，冲啊，本土大资金要干掉外资[献花][献花][献花][献花][献花],03-16
都发行全球债券了，是利好还是利空？,03-16
$三一重工(SH600031)$工程机械是强周期，强周期。10年一个周期，别亏了,03-16
9企稳,03-16
这种市场下不回购还跑出去融资,03-16
曾经的机械茅，如今不务正业开始讲故事割韭菜了！,03-16
三一重工筹划境外发行全球存托凭证并在瑞士证券交易所上市,03-16
$三一重工(SH600031)$如果再7元，可以考虑，,03-16
$三一重工(SH600031)$散户集中营啊，今天卖掉,03-16
$三一重工(SH600031)$春天的季节，三一重工还停留在冬季，寒风刺骨，让多,03-16
《大盘暴跌加速三一成功赶底！》近来，尤其今日大盘加速暴跌，三一尽管不算逆袭，但已,03-16
$三一重工(SH600031)$三一，三一，果然是股价49元的三分之一，太准了！,03-16
说降到11的都是啥人？有点银子不至于这样忽悠，最终把自己人给忽悠了,03-16
$三一重工(SH600031)$大家都看空，我却来一个看多，我泱泱中华靠的就是实,03-16
$三一重工(SH600031)$这么大利好正常有三个涨停板，现在大盘不好应该有影,03-16
猜测大跌原因：1）美国做空，2）美国加息，3）俄乌战争，4）经济不景气，5）疫情,03-16
最近一周，对三一是真的不友好啊,03-16
三一重工03月15日被沪股通减持167.64万股,03-16
今天应该涨停板,03-16
$三一重工(SH600031)$世上真正聪明的人是不炒股的，我们这帮散户拿出钱来,03-16
昨天抄底了。。。。买入几套。三一魔咒真厉害,03-16
$三一重工(SH600031)$今天不买什么时候买，下个月开始涨，目标24,03-16
$三一重工(SH600031)$外面中概股跌成球，你又去凑热闹，今天涨2个点最终,03-16
$三一重工(SH600031)$短期见底，长期我看应该是11块左右超级底,03-16
想着抄底的概率太低不支持,03-16
我入市之前看了很多书，比如做时间的朋友等等，我信心满满买了三一，500手，每股4,03-16
$三一重工(SH600031)$今天有盼头了利空也发了外围也涨了就看三一要脸吗？,03-16
我觉得好事，第一，加强中欧互信，瑞士怕是不敢对我们随便打击，体量不同！不是丑国，,03-16
